species;n_files_tot;n_boxes_tot;n_files_nbm;n_boxes_nbm;n_files_xc;n_boxes_xc;AP_birdnet;AP_nbm;xc_prop;Sp;;;;NBM-Orig.;NBM-XC;;;;;
Grus grus;26;954;26;954;0;0;0.795;0.763;0.0;GrGr;;;GrGr;954;0;;;;;
Erithacus rubecula;102;672;78;576;24;96;0.417;0.333;0.23529411764705882;ErRu;;;ErRu;576;96;;;;;
Fringilla coelebs;48;642;7;29;41;613;0.584;0.542;0.8541666666666666;FrCo;;;FrCo;29;613;;;Total Duration (h);File Number;
Melanitta nigra;22;641;2;61;20;580;0.986;0.897;0.9090909090909091;MeNi;;;MeNi;61;580;;NBM-Orig.;33,5;1256;
Haematopus ostralegus;21;634;6;466;15;168;0.893;0.888;0.7142857142857143;HaOs;;;HaOs;466;168;;NBM-XC;2,3;883;
Turdus philomelos;94;580;74;540;20;40;0.523;0.926;0.2127659574468085;TuPh;;;TuPh;540;40;;;;;
Luscinia megarhynchos;39;569;34;540;5;29;;;0.1282051282051282;LuMe;;;LuMe;540;29;;;File Number;Annot. Number;Total Duration (h)
Anthus trivialis;68;486;51;446;17;40;0.843;0.843;0.25;AnTr;;;AnTr;446;40;;NBM-Orig.;1,256;11,381;33,5
Burhinus oedicnemus;37;436;30;386;7;50;0.861;0.76;0.1891891891891892;BuOe;;;BuOe;386;50;;NBM-XC;0,883;6,028;2,3
Charadrius hiaticula;60;421;12;128;48;293;0.981;0.997;0.8;ChHi;;;ChHi;128;293;;;;;
Motacilla flava;21;413;14;355;7;58;0.866;0.972;0.3333333333333333;MoFl;;;MoFl;355;58;;;File Number (/10^3);Annot. Number (/10^3);Total Duration (h)
Turdus iliacus;104;413;95;387;9;26;0.838;0.946;0.08653846153846154;TuIl;;;TuIl;387;26;;NBM-XC;0,883;4,624;2,3
Rallus aquaticus;57;412;29;310;28;102;0.44;0.723;0.49122807017543857;RaAq;;;RaAq;310;102;;NBM-Orig.;1,194;8,735;35,3
